_id,ltable_id,rtable_id,label,ltable_value,rtable_value
0,520,0,0,quickbooks premier nonprofit edition 2007 intuit 399.95,learning quickbooks 2007 intuit 38.99
1,528,0,0,quickbooks simple start 2007 intuit 99.95,learning quickbooks 2007 intuit 38.99
2,532,0,0,quickbooks pro 2007 for mac ( mac ) intuit 199.95,learning quickbooks 2007 intuit 38.99
3,539,0,1,learning quickbooks 2007 intuit 39.95,learning quickbooks 2007 intuit 38.99
4,548,0,0,quickbooks pro 2007 small business financial software intuit 199.95,learning quickbooks 2007 intuit 38.99
5,580,0,0,quickbooks premier edition 2007 5 user multi-pack intuit 1499.95,learning quickbooks 2007 intuit 38.99
6,586,0,0,quickbooks premier professional services edition 2007 intuit 399.95,learning quickbooks 2007 intuit 38.99
7,611,0,0,quickbooks premier manufacturer and wholesale edition 2007 intuit 399.95,learning quickbooks 2007 intuit 38.99
8,114,2,0,quickbooks pos : pro multistore 6.0 intuit inc. 1399.95,qb pos 6.0 basic software intuit 637.99
9,1198,2,1,quickbooks point-of-sale basic 6.0 intuit 799.95,qb pos 6.0 basic software intuit 637.99
10,326,3,0,math missions : the race to spectacle city arcade ( grades k-2 ) scholastic 29.95,math missions : the amazing arcade adventure ( grades 3-5 )  12.95
11,613,3,0,math missions : the amazing arcade adventure grades 3-5 scholastic 19.99,math missions : the amazing arcade adventure ( grades 3-5 )  12.95
12,30,4,0,adobe fireworks cs3 [ mac ] adobe 299.0,production prem cs3 mac upgrad adobe software 805.99
13,139,4,0,adobe creative suite cs3 design premium upsell [ mac ] adobe 1599.0,production prem cs3 mac upgrad adobe software 805.99
14,216,4,0,adobe illustrator cs3 upgrade from freehand [ mac ] adobe 199.0,production prem cs3 mac upgrad adobe software 805.99
15,264,4,0,adobe photoshop cs3 extended [ mac ] adobe 999.0,production prem cs3 mac upgrad adobe software 805.99
16,265,4,0,adobe indesign cs3 [ mac ] adobe 699.0,production prem cs3 mac upgrad adobe software 805.99
17,350,4,0,adobe creative suite cs3 design standard upsell [ mac ] adobe 899.0,production prem cs3 mac upgrad adobe software 805.99
18,412,4,0,adobe creative suite cs3 web premium upsell [ mac ] adobe 1399.0,production prem cs3 mac upgrad adobe software 805.99
19,465,4,0,adobe creative suite cs3 web standard upgrade [ mac ] adobe 399.0,production prem cs3 mac upgrad adobe software 805.99
20,516,4,0,adobe creative suite cs3 design premium upgrade [ mac ] adobe 599.0,production prem cs3 mac upgrad adobe software 805.99
21,517,4,0,adobe photoshop cs3 [ mac ] adobe 649.0,production prem cs3 mac upgrad adobe software 805.99
22,543,4,0,adobe photoshop cs3 upgrade [ mac ] adobe 199.0,production prem cs3 mac upgrad adobe software 805.99
23,557,4,0,adobe creative suite cs3 production premium adobe 1699.0,production prem cs3 mac upgrad adobe software 805.99
24,559,4,0,adobe dreamweaver cs3 [ mac ] adobe 399.0,production prem cs3 mac upgrad adobe software 805.99
25,562,4,0,adobe dreamweaver cs3 upgrade [ mac ] adobe 199.0,production prem cs3 mac upgrad adobe software 805.99
26,565,4,0,adobe creative suite cs3 web premium [ mac ] adobe 1599.0,production prem cs3 mac upgrad adobe software 805.99
27,588,4,0,adobe creative suite cs3 design standard [ mac ] adobe 1199.0,production prem cs3 mac upgrad adobe software 805.99
28,593,4,0,adobe indesign cs3 upgrade [ mac ] adobe 199.0,production prem cs3 mac upgrad adobe software 805.99
29,597,4,0,adobe creative suite cs3 design premium [ mac ] adobe 1799.0,production prem cs3 mac upgrad adobe software 805.99
30,602,4,0,adobe creative suite cs3 design standard upgrade [ mac ] adobe 399.0,production prem cs3 mac upgrad adobe software 805.99
31,608,4,0,adobe creative suite cs3 web premium upgrade [ mac ] adobe 499.0,production prem cs3 mac upgrad adobe software 805.99
32,642,4,0,adobe flash pro cs3 [ mac ] adobe 699.0,production prem cs3 mac upgrad adobe software 805.99
33,736,4,1,adobe creative suite cs3 production premium upgrade adobe 799.0,production prem cs3 mac upgrad adobe software 805.99
34,772,4,0,adobe illustrator cs3 [ mac ] adobe 599.0,production prem cs3 mac upgrad adobe software 805.99
35,774,4,0,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ) adobe software 273.0,production prem cs3 mac upgrad adobe software 805.99
36,803,4,0,adobe creative suite cs3 master collection [ mac ] adobe 2499.0,production prem cs3 mac upgrad adobe software 805.99
37,837,4,0,adobe photoshop cs3 extended upgrade [ mac ] adobe 349.0,production prem cs3 mac upgrad adobe software 805.99
38,876,4,0,adobe soundbooth cs3 [ mac ] adobe 199.0,production prem cs3 mac upgrad adobe software 805.99
39,883,4,0,adobe creative suite cs3 production premium adobe 1699.0,production prem cs3 mac upgrad adobe software 805.99
40,897,4,0,adobe creative suite cs3 production premium upsell adobe 1199.0,production prem cs3 mac upgrad adobe software 805.99
41,910,4,0,adobe creative suite cs3 master collection upgrade [ mac ] adobe 1399.0,production prem cs3 mac upgrad adobe software 805.99
42,923,4,0,adobe illustrator cs3 upgrade [ mac ] adobe 199.0,production prem cs3 mac upgrad adobe software 805.99
43,930,4,0,adobe contribute cs3 [ mac ] adobe 149.0,production prem cs3 mac upgrad adobe software 805.99
44,1174,4,0,adobe indesign cs3 upgrade from pagemaker [ mac ] adobe 199.0,production prem cs3 mac upgrad adobe software 805.99
45,1186,4,0,adobe creative suite cs3 web standard [ mac ] adobe 999.0,production prem cs3 mac upgrad adobe software 805.99
46,1262,4,0,adobe flash pro cs3 upgrade [ mac ] adobe 199.0,production prem cs3 mac upgrad adobe software 805.99
47,1349,4,0,adobe creative suite cs3 web standard upsell [ mac ] adobe 799.0,production prem cs3 mac upgrad adobe software 805.99
48,540,5,1,ulead videostudio 11 plus corel 129.99,video studio 11 plus corel corporation 103.99
49,856,5,0,videostudio 11 plus corel ,video studio 11 plus corel corporation 103.99
50,114,7,1,quickbooks pos : pro multistore 6.0 intuit inc. 1399.95,qb pos 6.0 pro multi store sw intuit 1054.99
51,873,7,0,quickbooks point-of-sale pro with hardware bundle 6.0 intuit 1749.95,qb pos 6.0 pro multi store sw intuit 1054.99
52,273,8,1,quickbooks credit card processing kit 3.0 intuit 39.95,qb credit card kit 3.0 intuit 25.99
53,961,9,1,vegas movie studiodvd +8 plat sony media 129.95,vegas movie studiodvd +8 plat sony creative software 92.99
54,974,9,0,sony vegas movie studio + dvd 8 platinum edition sony media 129.95,vegas movie studiodvd +8 plat sony creative software 92.99
55,1300,9,0,acad vegas movie studio + dvd 8 platinum sony-pictures-digital-entertainment ,vegas movie studiodvd +8 plat sony creative software 92.99
56,114,10,0,quickbooks pos : pro multistore 6.0 intuit inc. 1399.95,qb pos 6.0 pro solution hw/sw intuit 1474.99
57,873,10,1,quickbooks point-of-sale pro with hardware bundle 6.0 intuit 1749.95,qb pos 6.0 pro solution hw/sw intuit 1474.99
58,157,13,0,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ) adobe systems inc ,cd384-aisk9 = cisco ios advanced ip services complete package cd  2068.26
59,204,13,0,cisco ios enterprise services complete package cd28-esk9 = ) cisco systems enterprise ,cd384-aisk9 = cisco ios advanced ip services complete package cd  2068.26
60,208,13,0,wasp bar code wasp bar code labeler complete package 3 users std cd - wasp technologies ,cd384-aisk9 = cisco ios advanced ip services complete package cd  2068.26
